,Date,Close,Change,Change_Percentage,PROC,rci,days
127,2000-07-06,4885.6,-26.51,-0.2651,-0.0781347580177,49.0903895682,-5795.0
128,2000-07-07,4905.94,20.34,0.2034,-0.0684411805701,50.236790996,-5794.0
129,2000-07-10,4867.43,-38.51,-0.3851,-0.05702478262,48.7938645671,-5791.0
130,2000-07-11,4898.07,30.64,0.3064,-0.0357933602746,50.5390268858,-5790.0
131,2000-07-12,4964.28,66.21,0.6621,-0.0496127604062,51.4292230392,-5789.0
132,2000-07-13,4880.8,-83.48,-0.8348,-0.0520189849681,47.6556598852,-5788.0
133,2000-07-14,4856.82,-23.98,-0.2398,-0.0523690556929,49.2044641576,-5787.0
134,2000-07-17,4747.32,-109.5,-1.095,-0.02643869026,47.1098944346,-5784.0
135,2000-07-18,4734.8,-12.52,-0.1252,-0.0175319456205,49.6508780175,-5783.0
136,2000-07-19,4616.01,-118.79,-1.1879,0.0312004818802,47.0607573727,-5782.0
137,2000-07-20,4575.67,-40.34,-0.4034,0.0540742241443,49.1096351302,-5781.0
138,2000-07-21,4463.66,-112.01,-1.1201,0.0822878759843,47.3590201359,-5780.0
139,2000-07-24,4188.34,-275.32,-2.7532,0.114809672054,43.6521284956,-5777.0
140,2000-07-25,4336.2,147.86,1.4786,0.0955245548751,53.51002035,-5776.0
141,2000-07-26,4191.27,-144.93,-1.4493,0.112338776288,47.499257232,-5775.0
142,2000-07-27,4281.13,89.86,0.8986,0.0832874741172,52.017845334,-5774.0
143,2000-07-28,4276.7,-4.43,-0.0443,0.0875224828298,50.2037316417,-5773.0
144,2000-07-31,4279.86,3.16,0.0316,0.0987491576819,50.3494510811,-5770.0
145,2000-08-01,4253.69,-26.17,-0.2617,0.112472197532,49.7611675413,-5769.0
146,2000-08-02,4260.88,7.19,0.0719,0.102740288538,50.4495951802,-5768.0
147,2000-08-03,4207.63,-53.25,-0.5325,0.131548530644,49.173298412,-5767.0
148,2000-08-04,4186.16,-21.47,-0.2147,0.143419561045,49.8704423393,-5766.0
149,2000-08-07,4201.25,15.09,0.1509,0.144715814589,50.6839769203,-5763.0
150,2000-08-08,4317.22,115.97,1.1597,0.116337809072,52.8894626175,-5762.0
151,2000-08-09,4317.04,-0.18,-0.0018,0.120038157825,50.1877850099,-5761.0
152,2000-08-10,4253.23,-63.81,-0.6381,0.126185687313,48.7612352276,-5760.0
153,2000-08-11,4192.0,-61.23,-0.6123,0.144152696879,48.8228986358,-5759.0
154,2000-08-14,4232.51,40.51,0.4051,0.147407076152,51.2419887099,-5756.0
155,2000-08-16,4325.67,93.16,0.9316,0.113737502049,52.4578034273,-5754.0
156,2000-08-17,4294.18,-31.49,-0.3149,0.115845347367,49.4083577978,-5753.0
157,2000-08-18,4347.04,52.86,0.5286,0.0843170462493,51.4067675568,-5752.0
158,2000-08-21,4409.57,62.53,0.6253,0.0686892793782,51.6357366607,-5749.0
159,2000-08-22,4461.23,51.66,0.5166,0.0335311231995,51.3513812802,-5748.0
160,2000-08-23,4444.79,-16.44,-0.1644,0.028603461351,49.5636705073,-5747.0
161,2000-08-24,4459.07,14.28,0.1428,0.00102830412711,50.3783662389,-5746.0
162,2000-08-25,4416.86,-42.21,-0.4221,-0.0545609955257,48.8610697348,-5745.0
163,2000-08-28,4395.81,-21.05,-0.2105,-0.0137470596375,49.4571915183,-5742.0
164,2000-08-29,4401.82,6.01,0.0601,-0.0502353701861,50.2328022766,-5741.0
165,2000-08-30,4411.85,10.03,0.1003,-0.0305339945295,50.3511329165,-5740.0
166,2000-08-31,4477.31,65.46,0.6546,-0.04690766245,51.9964564292,-5739.0
167,2000-09-04,4602.43,125.12,1.2512,-0.0753692877804,53.7221307689,-5735.0
168,2000-09-05,4598.65,-3.78,-0.0378,-0.0810966478516,49.6874680629,-5734.0
169,2000-09-06,4606.35,7.7,0.077,-0.0810794953155,50.0368479972,-5733.0
170,2000-09-07,4628.93,22.58,0.2258,-0.10012762529,50.5026166165,-5732.0
171,2000-09-08,4668.27,39.34,0.3934,-0.115167599901,51.0400658644,-5731.0
172,2000-09-11,4696.6,28.33,0.2833,-0.117905385302,50.6622690296,-5728.0
173,2000-09-12,4763.63,67.03,0.6703,-0.103402189372,51.9687403089,-5727.0
174,2000-09-13,4702.52,-61.11,-0.6111,-0.0892926634917,47.6050618851,-5726.0
175,2000-09-14,4671.92,-30.6,-0.306,-0.0984404793533,48.6777630905,-5725.0
176,2000-09-15,4562.38,-109.54,-1.0954,-0.0883540076336,46.1234658148,-5724.0
177,2000-09-18,4366.41,-195.97,-1.9597,-0.0316360741026,43.5100815557,-5721.0
178,2000-09-19,4264.34,-102.07,-1.0207,0.0141781504368,46.925718448,-5720.0
179,2000-09-20,4325.25,60.91,0.6091,-0.00723537439045,52.1731458641,-5719.0
180,2000-09-21,4257.2,-68.05,-0.6805,0.0206669365821,48.2286350331,-5718.0
181,2000-09-22,4032.37,-224.83,-2.2483,0.0855412205725,44.0005383481,-5717.0
182,2000-09-25,4173.48,141.11,1.4111,0.064500149062,53.8691446822,-5714.0
183,2000-09-26,4089.58,-83.9,-0.839,0.0799160365282,48.3875978748,-5713.0
184,2000-09-27,4164.1,74.52,0.7452,0.0661505650281,51.9839547307,-5712.0
185,2000-09-28,4067.38,-96.72,-0.9672,0.079124083625,48.1894018645,-5711.0
186,2000-09-29,4090.38,23.0,0.23,0.0694820749759,50.8136364318,-5710.0
187,2000-10-03,4135.55,45.17,0.4517,0.06049088786,51.291270164,-5706.0
188,2000-10-04,4160.41,24.86,0.2486,0.056991964822,50.8186386378,-5705.0
189,2000-10-05,4116.25,-44.16,-0.4416,0.0806421713038,49.207687471,-5704.0
190,2000-10-06,4092.42,-23.83,-0.2383,0.110813200853,49.6987151864,-5703.0
191,2000-10-09,4056.07,-36.35,-0.3635,0.117986800474,49.3912962967,-5700.0
192,2000-10-10,3945.28,-110.79,-1.1079,0.14351275956,47.5625327665,-5699.0
193,2000-10-11,3836.51,-108.77,-1.0877,0.17118859002,47.6175556123,-5698.0
194,2000-10-12,3847.58,11.07,0.1107,0.175801742401,50.8183655402,-5697.0
195,2000-10-13,3738.93,-108.65,-1.0865,0.203907081719,47.7697863107,-5696.0
196,2000-10-16,3728.67,-10.26,-0.1026,0.217262885657,50.3299111203,-5693.0
197,2000-10-17,3664.79,-63.88,-0.6388,0.2206752975,48.9625465053,-5692.0
198,2000-10-18,3593.63,-71.16,-0.7116,0.230802325382,48.7744588218,-5691.0
199,2000-10-19,3702.83,109.2,1.092,0.188399475712,53.4100255345,-5690.0
