Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-April-2016,75.50,78.45,74.00,76.40,75.614905790874604405,47713,256,3607814.00,8745,18.33,4.45,0.90
12-April-2016,76.00,77.10,74.00,75.40,75.306689916376045299,53334,296,4016407.00,13912,26.08,3.10,-0.60
11-April-2016,75.30,78.45,74.20,75.70,76.897798022340230726,43688,252,3359511.00,3313,7.58,4.25,0.40
8-April-2016,76.20,79.90,76.15,76.95,77.845849117869899339,46195,284,3596089.00,5834,12.63,3.75,0.75
7-April-2016,80.00,80.00,76.30,76.85,78.310428896801719436,31173,147,2441171.00,3449,11.06,3.70,-3.15
6-April-2016,77.00,79.00,73.20,78.25,77.251804719376836819,70094,407,5414888.00,8136,11.61,5.80,1.25
5-April-2016,77.00,78.00,74.00,74.70,76.376659644309440987,40822,311,3117848.00,9336,22.87,4.00,-2.30
4-April-2016,72.60,79.90,72.60,75.80,76.033076644787844333,58047,522,4413492.00,17053,29.38,7.30,3.20
1-April-2016,74.95,76.90,73.60,74.80,75.218562647036502997,52708,571,3964620.00,14975,28.41,3.30,-0.15
31-March-2016,66.70,78.00,65.50,75.60,73.564086254055085554,157210,827,11565010.00,44482,28.29,12.50,8.90
30-March-2016,68.00,70.25,64.20,65.00,68.200887746627460663,178204,319,12153671.00,21848,12.26,6.05,-3.00
29-March-2016,69.50,70.80,67.00,67.40,68.972041884816753926,38200,161,2634732.00,10933,28.62,3.80,-2.10
28-March-2016,73.90,74.75,65.50,69.05,71.827026071139854486,39584,241,2843201.00,7227,18.26,9.25,-4.85
23-March-2016,67.00,74.90,67.00,73.35,70.904846598488216985,80964,471,5740740.00,30642,37.85,7.90,6.35
22-March-2016,64.80,70.65,64.80,67.65,68.516521055654644940,33079,240,2266458.00,5069,15.32,5.85,2.85
21-March-2016,68.00,68.75,62.30,66.15,67.339886341601658636,67043,138,4514668.00,18158,27.08,6.45,-1.85
18-March-2016,70.20,70.20,67.00,68.10,68.294053590285110876,60608,155,4139166.00,14113,23.29,3.20,-2.10
17-March-2016,72.00,72.00,67.10,68.95,70.117325688321523232,73948,298,5185036.00,23820,32.21,4.90,-3.05
16-March-2016,69.90,70.40,67.00,69.25,68.764109906840178344,55174,240,3793991.00,5224,9.47,3.40,-0.65
15-March-2016,69.70,72.45,66.30,68.70,69.866552640197969358,82437,795,5759589.00,14844,18.01,6.15,-1.00
14-March-2016,62.60,70.20,62.40,69.80,69.472586120714791519,192056,1032,13342627.00,65786,34.25,7.80,7.20
11-March-2016,62.00,62.00,56.70,58.50,58.386524822695035460,846,42,49395.00,552,65.25,5.30,-3.50
10-March-2016,59.85,59.85,58.90,58.90,59.043956043956043956,1456,22,85968.00,1415,97.18,0.95,-0.95
9-March-2016,59.10,59.80,59.00,59.05,59.087394957983193277,595,17,35157.00,535,89.92,0.80,-0.05
8-March-2016,65.80,65.80,59.35,60.15,60.609519797809604043,2374,54,143887.00,1542,64.95,6.45,-5.65
4-March-2016,60.10,60.75,60.00,60.45,60.451810300866904640,3922,33,237092.00,3782,96.43,0.75,0.35
3-March-2016,61.35,61.50,59.10,59.50,60.529206625980819529,8029,103,485989.00,5428,67.60,2.40,-1.85
2-March-2016,59.70,61.65,59.00,59.40,60.081768625075711689,3302,45,198390.00,2389,72.35,2.65,-0.30
1-March-2016,59.75,59.90,58.60,58.80,58.848648648648648648,1295,27,76209.00,1093,84.40,1.30,-0.95
29-February-2016,57.30,59.00,57.25,58.00,57.676029055690072639,2065,30,119101.00,2013,97.48,1.75,0.70
26-February-2016,59.70,59.70,57.00,58.35,58.255344995140913508,4116,56,239779.00,3561,86.52,2.70,-1.35
25-February-2016,62.90,62.90,56.00,58.00,58.242234707940209901,9433,75,549399.00,8128,86.17,6.90,-4.90
24-February-2016,63.40,63.40,61.10,61.35,61.511540526033279656,1863,47,114596.00,1091,58.56,2.30,-2.05
23-February-2016,62.45,64.30,62.00,62.75,63.184084530295525837,6057,87,382706.00,3485,57.54,2.30,0.30
22-February-2016,62.50,64.80,62.50,62.80,62.907641196013289036,1505,11,94676.00,905,60.13,2.30,0.30
19-February-2016,61.45,63.35,61.45,62.95,62.217821782178217821,202,18,12568.00,152,75.25,1.90,1.50
18-February-2016,64.80,64.80,62.95,63.55,63.639210347174948944,1469,27,93486.00,1364,92.85,1.85,-1.25
17-February-2016,64.00,64.00,61.15,62.70,62.214491362763915547,2084,32,129655.00,1400,67.18,2.85,-1.30
16-February-2016,62.00,65.00,59.60,63.50,63.009268866293145189,14457,162,910925.00,6904,47.76,5.40,1.50
15-February-2016,66.70,66.70,61.35,62.95,63.077625570776255707,657,26,41442.00,351,53.42,5.35,-3.75
12-February-2016,56.25,61.90,54.75,61.00,59.247106586681209477,16503,223,977755.00,8557,51.85,7.15,4.75
11-February-2016,66.95,66.95,59.00,59.45,61.900892638786989483,32712,147,2024902.00,7909,24.18,7.95,-7.50
10-February-2016,62.50,65.00,62.50,63.60,63.235385210994967092,2583,17,163337.00,2571,99.54,2.50,1.10
9-February-2016,64.00,66.50,60.50,64.35,63.905598078943418880,13326,94,851606.00,3779,28.36,6.00,0.35
8-February-2016,61.70,64.65,61.70,62.60,63.542720661862473120,60919,74,3870959.00,3805,6.25,2.95,0.90
5-February-2016,63.10,65.10,63.10,63.85,64.505828562013428347,72831,122,4698024.00,7519,10.32,2.00,0.75
4-February-2016,63.00,66.50,63.00,64.20,65.029182539913339343,68774,171,4472317.00,9058,13.17,3.50,1.20
3-February-2016,65.35,65.35,62.25,62.50,63.085750672138106693,56536,138,3566616.00,9093,16.08,3.10,-2.85
2-February-2016,66.00,70.50,65.30,66.20,67.422396573752496805,55571,363,3746730.00,13295,23.92,5.20,0.20
1-February-2016,68.40,70.50,65.15,65.55,66.905070496540852964,11419,107,763989.00,7708,67.50,5.35,-2.85
29-January-2016,70.90,70.90,68.80,69.25,69.448648158228996552,11022,188,765463.00,5544,50.30,2.10,-1.65
